taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Squalius cf. moreoticus BOLD:ACL6485	?	?	?	?	?	?
Squalius sp. BOLD:ACL6954	?	?	?	?	?	?
Squalius cf. aristotelis BOLD:ACL6954	?	?	?	?	?	?
Squalius seyhanensis	?	?	?	?	?	?
Squalius sp. BOLD:ACL6485	?	?	?	?	?	?
Squalius ghigii	?	?	?	?	?	?
Squalius irideus	?	?	?	?	?	?
Squalius pursakensis	?	?	?	?	?	?
Squalius sp. Ex51A12	?	?	?	?	?	?
Squalius sp. Ex51B5	?	?	?	?	?	?
Squalius sp. Ex62D8	?	?	?	?	?	?
Alburnus escherichii	?	?	?	?	?	?
Alburnus orontis	?	?	?	?	?	?
Alburnus sp. Volvi	?	?	?	?	?	?
Alburnus baliki	?	?	?	?	?	?
Alburnus filippii	?	?	?	?	?	?
Alburnus chalcoides	?	?	?	?	?	?
Alburnus macedonicus	?	?	?	?	?	?
Alburnus kotschyi	?	?	?	?	?	?
Alburnus belvica	?	?	?	?	?	?
Alburnus sp. 32 VK-2008	?	?	?	?	?	?
Alburnus sp. 19 VK-2008	?	?	?	?	?	?
Alburnus sp. 10 VK-2008	?	?	?	?	?	?
Alburnus sp. 7 VK-2008	?	?	?	?	?	?
Alburnus maculatus	?	?	?	?	?	?
Alburnus istanbulensis	?	?	?	?	?	?
Alburnus hohenackeri	?	?	?	?	?	?
Alburnus mossulensis	?	?	?	?	?	?
Alburnus thessalicus	?	?	?	?	?	?
Alburnus tarichi	?	?	?	?	?	?
Alburnus albidus	?	?	?	?	?	?
Alburnus alburnus	?	?	?	?	?	?
Alburnus volviticus	?	?	?	?	?	?
Alburnus scoranza	?	?	?	?	?	?
Alburnus arborella	?	?	?	?	?	?
Alburnus sp. SP-2010	?	?	?	?	?	?
Alburnus qalilus	?	?	?	?	?	?
Alburnus harusini	?	?	?	?	?	?
Alburnus nordmannii	?	?	?	?	?	?
Alburnus albor	?	?	?	?	?	?
Alburnus strumicae	?	?	?	?	?	?
Alburnus dnjestrensis	?	?	?	?	?	?
Alburnus oleiferus	?	?	?	?	?	?
Alburnus battalgilae	?	?	?	?	?	?
Alburnus atropatenae	?	?	?	?	?	?
Alburnus akili	?	?	?	?	?	?
Alburnus nicaeensis	?	?	?	?	?	?
Alburnus adanensis	?	?	?	?	?	?
Alburnus doriae	?	?	?	?	?	?
Alburnus caeruleus	?	?	?	?	?	?
Alburnus sellal	?	?	?	?	?	?
Alburnus carinatus	?	?	?	?	?	?
Alburnus derjugini	?	?	?	?	?	?
Alburnus attalus	?	?	?	?	?	?
Alburnus mandrensis	?	?	?	?	?	?
Alburnus sarmaticus	?	?	?	?	?	?
Alburnus schischkovi	?	?	?	?	?	?
Alburnus zagrosensis	?	?	?	?	?	?
Alburnus demiri	?	?	?	?	?	?
Alburnus heckeli	?	?	?	?	?	?
Alburnus nasreddini	?	?	?	?	?	?
Alburnus leobergi	?	?	?	?	?	?
Alburnus vistonicus	?	?	?	?	?	?
Alburnus danubicus	?	?	?	?	?	?
Alburnus vignoni	?	?	?	?	?	?
Alburnus neretvae	?	?	?	?	?	?
Alburnus sp. BOLD:ACB3954	?	?	?	?	?	?
Alburnus sp. BOLD:ACL7074	?	?	?	?	?	?
Alburnus sp. BOLD:AAB6906	?	?	?	?	?	?
Anaecypris hispanica	?	?	?	?	?	?
Anaecypris punica	?	?	?	?	?	?
Anaecypris macedonicus	?	?	?	?	?	?
Tropidophoxinellus hellenicus	?	?	?	?	?	?
Tropidophoxinellus spartiaticus	?	?	?	?	?	?
Tropidophoxinellus chaignoni	?	?	?	?	?	?
Tropidophoxinellus callensis	?	?	?	?	?	?
Scardinius erythrophthalmus	?	1	?	2	0	0
Scardinius dergle	?	?	?	?	?	?
Scardinius acarnanicus	?	?	?	?	?	?
Scardinius plotizza	?	?	?	?	?	?
Scardinius hesperidicus	?	?	?	?	?	?
Scardinius graecus	?	?	?	?	?	?
Scardinius scardafa	?	?	?	?	?	?
Scardinius elmaliensis	?	?	?	?	?	?
Scardinius racovitzai	?	?	?	?	?	?
Scardinius knezevici	?	?	?	?	?	?
Abramis brama	?	?	?	?	?	?
Abramis parsa	?	?	?	?	?	?
Acanthalburnus microlepis	?	?	?	?	?	?
Acanthalburnus urmianus	?	?	?	?	?	?
Blicca bjoerkna	?	?	?	?	?	?
Vimba vimba	?	?	?	?	?	?
Vimba mirabilis	?	?	?	?	?	?
Vimba melanops	?	?	?	?	?	?
Mirogrex terraesanctae	?	?	?	?	?	?
Notemigonus crysoleucas	1	1	2	1	0	0
Notemigonus chrysocephalus	?	?	?	?	?	?
