taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Atule mate	1	?	1	?	1	0
Selar boops	1	?	1	?	1	0
Selar crumenophthalmus	1	?	1	?	1	0
Hemicaranx amblyrhynchus	1	?	1	?	1	0
Hemicaranx leucurus	1	?	1	?	1	0
Hemicaranx zelotes	1	?	1	?	1	0
Hemicaranx bicolor	1	?	1	?	1	0
Megalaspis cordyla	1	?	1	?	1	0
Alepes djedaba	1	?	1	?	1	0
Alepes vari	1	?	1	?	1	0
Alepes kleinii	1	?	1	?	1	0
Alepes melanoptera	1	?	1	?	1	0
Alepes apercna	1	?	1	?	1	0
Elagatis bipinnulata	1	?	1	?	1	0
Atropus atropos	1	?	1	?	1	0
